HEXOSKINTIME,VALUE
372178037917,81
372178038173,81
372178038429,82
372178038685,82
372178038941,82
372178039197,82
372178039453,80
372178039709,80
372178039965,79
372178040221,79
372178040477,78
372178040733,77
372178040989,77
372178041245,77
372178041501,76
372178041757,76
372178042013,75
372178042269,75
372178042525,76
372178042781,78
372178043037,79
372178043293,80
372178043549,81
372178043805,81
372178044061,81
372178044317,81
372178044573,81
372178044829,81
372178045085,81
372178045341,81
372178045597,81
372178045853,80
372178046109,78
372178046365,78
372178046621,78
372178046877,77
372178047133,76
372178047389,76
372178047645,75
372178047901,74
372178048157,74
372178048413,75
372178048669,74
372178048925,74
372178049181,74
372178049437,75
372178049693,75
372178049949,75
372178050205,75
372178050461,75
372178050717,76
372178050973,76
372178051229,76
372178051485,76
372178051741,76
372178051997,75
372178052253,75
372178052509,73
372178052765,73
372178053021,73
372178053277,72
372178053533,72
372178053789,70
372178054045,70
372178054301,71
372178054557,72
372178054813,74
372178055069,74
372178055325,75
372178055581,75
372178055837,75
372178056093,76
372178056349,76
372178056605,76
372178056861,76
372178057117,76
372178057373,75
372178057629,74
372178057885,73
372178058141,71
372178058397,70
372178058653,69
372178058909,68
372178059165,68
372178059421,68
372178059677,68
372178059933,68
372178060189,67
372178060445,67
372178060701,67
372178060957,68
372178061213,68
372178061469,68
372178061725,68
372178061981,69
372178062237,70
372178062493,70
372178062749,71
372178063005,71
372178063261,73
372178063517,74
372178063773,76
372178064029,77
372178064285,79
372178064541,80
372178064797,80
372178065053,80
372178065309,80
372178065565,80
372178065821,79
372178066077,79
372178066333,78
372178066589,77
372178066845,76
372178067101,75
372178067357,74
372178067613,73
372178067869,71
372178068125,70
372178068381,69
372178068637,69
372178068893,69
372178069149,68
372178069405,69
372178069661,69
372178069917,69
372178070173,70
372178070429,71
372178070685,71
372178070941,71
372178071197,71
372178071453,72
372178071709,71
372178071965,71
372178072221,71
372178072477,71
372178072733,71
372178072989,71
372178073245,71
372178073501,71
372178073757,71
372178074013,71
372178074269,71
372178074525,70
372178074781,70
372178075037,70
372178075293,70
372178075549,70
372178075805,70
372178076061,70
372178076317,70
372178076573,70
372178076829,70
372178077085,70
372178077341,70
372178077597,70
372178077853,71
372178078109,71
372178078365,71
372178078621,71
372178078877,71
372178079133,72
372178079389,73
372178079645,73
372178079901,74
372178080157,75
372178080413,75
372178080669,75
372178080925,76
372178081181,76
372178081437,76
372178081693,76
372178081949,76
372178082205,76
372178082461,75
372178082717,75
372178082973,74
372178083229,74
372178083485,74
372178083741,74
372178083997,74
372178084253,74
372178084509,74
372178084765,74
372178085021,74
372178085277,74
372178085533,73
372178085789,73
372178086045,73
372178086301,72
372178086557,72
372178086813,72
372178087069,72
372178087325,72
372178087581,71
372178087837,71
372178088093,70
372178088349,70
372178088605,70
372178088861,70
372178089117,70
372178089373,70
372178089629,71
372178089885,71
372178090141,71
372178090397,72
372178090653,72
372178090909,72
372178091165,73
372178091421,73
372178091677,74
372178091933,75
372178092189,76
372178092445,75
372178092701,75
372178092957,75
372178093213,75
372178093469,75
372178093725,75
372178093981,75
372178094237,74
372178094493,74
372178094749,73
372178095005,72
372178095261,72
372178095517,71
372178095773,72
372178096029,72
372178096285,72
372178096541,72
372178096797,72
372178097053,72
372178097309,72
372178097565,72
372178097821,72
372178098077,71
372178098333,71
372178098589,71
372178098845,71
372178099101,72
372178099357,72
372178099613,72
372178099869,71
372178100125,71
372178100381,71
372178100637,70
372178100893,71
372178101149,71
372178101405,72
372178101661,72
372178101917,73
372178102173,73
372178102429,73
372178102685,72
372178102941,73
372178103197,72
372178103453,72
372178103709,73
372178103965,73
372178104221,73
372178104477,72
372178104733,72
372178104989,71
372178105245,71
372178105501,71
372178105757,70
372178106013,70
372178106269,69
372178106525,70
372178106781,70
372178107037,70
372178107293,71
372178107549,71
372178107805,72
372178108061,73
372178108317,74
372178108573,75
372178108829,76
372178109085,76
372178109341,77
372178109597,77
372178109853,77
372178110109,77
372178110365,77
372178110621,77
372178110877,76
372178111133,76
372178111389,76
372178111645,75
372178111901,75
372178112157,74
372178112413,74
372178112669,74
372178112925,73
372178113181,73
372178113437,73
372178113693,73
372178113949,73
372178114205,73
372178114461,73
372178114717,73
372178114973,74
372178115229,74
372178115485,74
372178115741,75
372178115997,75
372178116253,76
372178116509,77
372178116765,79
372178117021,79
372178117277,80
372178117533,80
372178117789,79
372178118045,79
372178118301,79
372178118557,78
372178118813,78
372178119069,77
372178119325,76
372178119581,75
372178119837,74
372178120093,74
372178120349,73
372178120605,72
372178120861,71
372178121117,71
372178121373,71
372178121629,72
372178121885,74
372178122141,76
372178122397,76
372178122653,77
372178122909,79
372178123165,79
372178123421,80
372178123677,82
372178123933,82
372178124189,82
372178124445,81
372178124701,81
372178124957,80
372178125213,80
372178125469,79
372178125725,78
372178125981,78
372178126237,77
372178126493,76
372178126749,76
372178127005,76
372178127261,75
372178127517,75
372178127773,75
372178128029,74
372178128285,74
372178128541,74
372178128797,74
372178129053,74
372178129309,73
372178129565,73
372178129821,73
372178130077,73
372178130333,73
372178130589,73
372178130845,73
372178131101,74
372178131357,75
372178131613,76
372178131869,76
372178132125,76
372178132381,77
372178132637,77
372178132893,78
372178133149,78
372178133405,78
372178133661,77
372178133917,77
372178134173,77
372178134429,77
372178134685,76
372178134941,74
372178135197,74
372178135453,73
372178135709,73
372178135965,73
372178136221,72
372178136477,72
372178136733,72
372178136989,74
372178137245,75
372178137501,77
372178137757,77
372178138013,78
372178138269,78
372178138525,78
372178138781,79
372178139037,79
372178139293,79
372178139549,82
372178139805,84
372178140061,86
372178140317,86
372178140573,86
372178140829,85
372178141085,84
372178141341,83
372178141597,83
372178141853,83
372178142109,82
372178142365,82
372178142621,83
372178142877,82
372178143133,81
372178143389,79
372178143645,78
372178143901,75
372178144157,75
372178144413,75
372178144669,75
372178144925,75
372178145181,75
372178145437,74
372178145693,74
372178145949,73
372178146205,72
372178146461,71
372178146717,71
372178146973,71
372178147229,71
372178147485,71
372178147741,72
372178147997,72
372178148253,72
372178148509,72
372178148765,73
372178149021,73
372178149277,73
372178149533,74
372178149789,75
372178150045,75
372178150301,75
372178150557,75
372178150813,75
372178151069,75
372178151325,74
372178151581,74
372178151837,74
372178152093,73
372178152349,73
372178152605,73
372178152861,73
372178153117,73
372178153373,73
372178153629,73
372178153885,73
372178154141,73
372178154397,73
372178154653,73
372178154909,73
372178155165,74
372178155421,74
372178155677,75
372178155933,76
372178156189,76
372178156445,77
372178156701,77
372178156957,77
372178157213,77
372178157469,76
372178157725,77
